Date,Time,Temperature (Celsius) ,,Solar Irradiance (W/m^2),,Energy Consumption (Wh)
1/08/2021,0:00,10.078297,,0,,9970
1/08/2021,1:00,9.498297,,0,,9428
1/08/2021,2:00,9.2382965,,0,,9059
1/08/2021,3:00,8.818297,,0,,8817
1/08/2021,4:00,8.478297,,0,,8743
1/08/2021,5:00,8.068297,,0,,8735
1/08/2021,6:00,7.2882977,,23,,8993
1/08/2021,7:00,6.1482973,,108,,9363
1/08/2021,8:00,6.0482974,,204,,9545
1/08/2021,9:00,7.9682975,,376,,9676
1/08/2021,10:00,10.598297,,432,,9937
1/08/2021,11:00,11.518297,,437,,10139
1/08/2021,12:00,12.268297,,615,,10326
1/08/2021,13:00,12.208297,,487,,10359
1/08/2021,14:00,12.888297,,485,,10293
1/08/2021,15:00,12.908297,,540,,10240
1/08/2021,16:00,12.668297,,358,,10416
1/08/2021,17:00,11.368297,,294,,11225
1/08/2021,18:00,8.228297,,236,,11907
1/08/2021,19:00,7.4182973,,81,,11812
1/08/2021,20:00,6.5082974,,0,,11542
1/08/2021,21:00,5.0982976,,0,,11149
1/08/2021,22:00,4.8682976,,0,,10855
1/08/2021,23:00,3.8182971,,0,,10335
2/08/2021,0:00,2.7682972,,0,,10126
2/08/2021,1:00,1.6082972,,0,,9535
2/08/2021,2:00,0.81829727,,0,,9182
2/08/2021,3:00,0.22829732,,0,,8945
2/08/2021,4:00,-0.2417027,,0,,8470
2/08/2021,5:00,-0.5817027,,0,,8470
2/08/2021,6:00,-1.1017027,,13,,9583
2/08/2021,7:00,-1.4217027,,107,,10329
2/08/2021,8:00,-0.5317027,,232,,10804
2/08/2021,9:00,4.9882975,,355,,11100
2/08/2021,10:00,10.778297,,362,,11396
2/08/2021,11:00,13.618297,,761,,11586
2/08/2021,12:00,14.998297,,809,,11598
2/08/2021,13:00,15.438297,,872,,11511
2/08/2021,14:00,15.588297,,844,,11429
2/08/2021,15:00,15.398297,,760,,11317
2/08/2021,16:00,14.818297,,561,,11384
2/08/2021,17:00,13.278297,,429,,11996
2/08/2021,18:00,9.968297,,235,,12440
2/08/2021,19:00,9.618297,,53,,12248
2/08/2021,20:00,9.888297,,0,,12023
2/08/2021,21:00,9.168297,,0,,11717
2/08/2021,22:00,11.608297,,0,,11318
2/08/2021,23:00,10.898297,,0,,10728
3/08/2021,0:00,10.268297,,0,,10743
3/08/2021,1:00,9.418297,,0,,10083
3/08/2021,2:00,9.148297,,0,,9701
3/08/2021,3:00,8.828297,,0,,9448
