Date,Time,Temperature (Celsius) ,,,weather_main,,weather_description,,,Solar Irradiance (W/m^2)
1/08/2021,0:00,8.078297,,,Clouds,,scattered clouds,,,0
1/08/2021,1:00,8.498297,,,Clouds,,broken clouds,,,0
1/08/2021,2:00,7.2382965,,,Clouds,,broken clouds,,,0
1/08/2021,3:00,7.818297,,,Clouds,,broken clouds,,,0
1/08/2021,4:00,8.478297,,,Clouds,,broken clouds,,,0
1/08/2021,5:00,8.068297,,,Clouds,,scattered clouds,,,0
1/08/2021,6:00,7.2882977,,,Clouds,,few clouds,,,23
1/08/2021,7:00,6.1482973,,,Clouds,,few clouds,,,108
1/08/2021,8:00,6.0482974,,,Clouds,,broken clouds,,,204
1/08/2021,9:00,7.9682975,,,Clouds,,overcast clouds,,,376
1/08/2021,10:00,10.598297,,,Clouds,,overcast clouds,,,432
1/08/2021,11:00,11.518297,,,Clouds,,scattered clouds,,,437
1/08/2021,12:00,16.268297,,,Clear,,sky is clear,,,615
1/08/2021,13:00,17.208297,,,Clear,,sky is clear,,,700
1/08/2021,14:00,12.888297,,,Clouds,,few clouds,,,515
1/08/2021,15:00,12.908297,,,Clouds,,broken clouds,,,540
1/08/2021,16:00,12.668297,,,Clouds,,overcast clouds,,,358
1/08/2021,17:00,11.368297,,,Clouds,,overcast clouds,,,294
1/08/2021,18:00,8.228297,,,Clouds,,overcast clouds,,,236
1/08/2021,19:00,7.4182973,,,Clouds,,overcast clouds,,,81
1/08/2021,20:00,6.5082974,,,Clouds,,overcast clouds,,,0
1/08/2021,21:00,5.0982976,,,Clouds,,overcast clouds,,,0
1/08/2021,22:00,4.8682976,,,Clouds,,overcast clouds,,,0
1/08/2021,23:00,3.8182971,,,Clouds,,overcast clouds,,,0
2/08/2021,0:00,2.7682972,,,Clouds,,overcast clouds,,,0
2/08/2021,1:00,1.6082972,,,Clouds,,overcast clouds,,,0
2/08/2021,2:00,0.81829727,,,Rain,,light rain,,,0
2/08/2021,3:00,0.22829732,,,Rain,,moderate rain,,,0
2/08/2021,4:00,-0.2417027,,,Rain,,moderate rain,,,0
2/08/2021,5:00,-0.5817027,,,Rain,,moderate rain,,,0
2/08/2021,6:00,-1.1017027,,,Rain,,light rain,,,13
2/08/2021,7:00,-1.4217027,,,Rain,,moderate rain,,,107
2/08/2021,8:00,-0.5317027,,,Clouds,,broken clouds,,,232
2/08/2021,9:00,4.9882975,,,Clouds,,broken clouds,,,355
2/08/2021,10:00,10.778297,,,Clouds,,broken clouds,,,362
2/08/2021,11:00,13.618297,,,Clear,,sky is clear,,,761
2/08/2021,12:00,14.998297,,,Clear,,sky is clear,,,809
2/08/2021,13:00,15.438297,,,Clear,,sky is clear,,,872
2/08/2021,14:00,15.588297,,,Clear,,sky is clear,,,844
2/08/2021,15:00,15.398297,,,Clear,,sky is clear,,,760
2/08/2021,16:00,14.818297,,,Clear,,sky is clear,,,561
2/08/2021,17:00,13.278297,,,Clouds,,scattered clouds,,,429
2/08/2021,18:00,9.968297,,,Clouds,,few clouds,,,235
2/08/2021,19:00,9.618297,,,Clouds,,few clouds,,,53
2/08/2021,20:00,9.888297,,,Clouds,,few clouds,,,0
2/08/2021,21:00,9.168297,,,Clouds,,scattered clouds,,,0
2/08/2021,22:00,11.608297,,,Clouds,,scattered clouds,,,0
2/08/2021,23:00,10.898297,,,Clouds,,scattered clouds,,,0
3/08/2021,0:00,10.268297,,,Clouds,,scattered clouds,,,0
3/08/2021,1:00,9.418297,,,Clouds,,broken clouds,,,0
3/08/2021,2:00,9.148297,,,Clouds,,broken clouds,,,0
3/08/2021,3:00,8.828297,,,Clouds,,broken clouds,,,0
3/08/2021,4:00,8.708297,,,Clouds,,overcast clouds,,,0
3/08/2021,5:00,8.758297,,,Clouds,,overcast clouds,,,0
